Tipo Titulo,Data Vencimento,Data Base,PU Base Manha,Juros
Tesouro Prefixado,2005-04-01,2005-01-20,967.87,18.293913037152908
Tesouro Prefixado,2005-10-01,2005-01-20,885.91,19.029150820536948
Tesouro Prefixado,2006-07-01,2005-01-20,785.23,18.242861252009
Tesouro Prefixado,2006-01-01,2005-01-20,850.45,18.64932266621637
Tesouro Prefixado,2005-07-01,2005-01-20,926.44,18.799524768248
Tesouro Selic,2008-06-18,2005-01-21,2156.25,0.60822682597379
Tesouro Selic,2005-02-16,2005-01-21,2182.5,18.86887846258793
Tesouro Selic,2006-01-18,2005-01-21,2179.53,1.34523400375099
Tesouro Selic,2007-01-17,2005-01-21,2173.11,0.77164890143535
Tesouro Selic,2009-03-18,2005-01-21,2146.85,0.57146183701186
Tesouro Prefixado,2006-07-01,2005-01-21,783.29,18.483881102582718
Tesouro Prefixado,2005-07-01,2005-01-21,926.5,18.90923467608725
Tesouro Prefixado,2005-10-01,2005-01-21,885.59,19.17327466875966
Tesouro Prefixado,2006-01-01,2005-01-21,849.68,18.82204014907749
Tesouro Prefixado,2005-04-01,2005-01-21,968.41,18.23355870185143
Tesouro Selic,2008-06-18,2005-01-24,2157.71,0.5958740707167499
Tesouro Selic,2006-01-18,2005-01-24,2180.99,1.30891924348455
Tesouro Selic,2005-02-16,2005-01-24,2183.96,20.69175153549367
Tesouro Selic,2007-01-17,2005-01-24,2174.57,0.7512752564266599
Tesouro Selic,2009-03-18,2005-01-24,2148.31,0.56121766308459
Tesouro Prefixado,2006-01-01,2005-01-24,849.46,19.03484317738684
Tesouro Prefixado,2005-07-01,2005-01-24,926.87,19.190837987134298
Tesouro Prefixado,2005-10-01,2005-01-24,885.74,19.394839834487932
Tesouro Prefixado,2006-07-01,2005-01-24,783.53,18.57383720258547
Tesouro Prefixado,2005-04-01,2005-01-24,969.04,18.70201671221041
Tesouro Selic,2005-02-16,2005-01-25,2185.41,20.80599292131562
Tesouro Selic,2006-01-18,2005-01-25,2182.45,1.26488679285183
Tesouro Selic,2007-01-17,2005-01-25,2176.03,0.72872029299249
Tesouro Selic,2008-06-18,2005-01-25,2159.18,0.58243385887324
Tesouro Selic,2009-03-18,2005-01-25,2149.77,0.55021132874986
Tesouro Prefixado,2005-04-01,2005-01-25,969.73,18.54289055639217
Tesouro Prefixado,2005-07-01,2005-01-25,927.62,19.09986562742047
Tesouro Prefixado,2005-10-01,2005-01-25,886.51,19.32767209187198
Tesouro Prefixado,2006-01-01,2005-01-25,850.32,18.96667115051156
Tesouro Prefixado,2006-07-01,2005-01-25,784.91,18.4665858028671
Tesouro Selic,2008-06-18,2005-01-26,2160.65,0.56898323273251
Tesouro Selic,2009-03-18,2005-01-26,2151.24,0.53912147889709
Tesouro Selic,2006-01-18,2005-01-26,2183.92,1.22033177293603
Tesouro Selic,2005-02-16,2005-01-26,2186.87,20.92524163405684
Tesouro Prefixado,2006-01-01,2005-01-26,850.9,18.94029933878369
Tesouro Selic,2007-01-17,2005-01-26,2177.08,0.7127520078340199
Tesouro Prefixado,2006-07-01,2005-01-26,785.35,18.45857503497592
Tesouro Prefixado,2005-07-01,2005-01-26,928.23,19.05000975116269
Tesouro Prefixado,2005-10-01,2005-01-26,887.08,19.29973607290198
Tesouro Prefixado,2005-04-01,2005-01-26,970.38,18.40685110465993
Tesouro Selic,2006-01-18,2005-01-27,2185.38,1.17590637792417
Tesouro Selic,2008-06-18,2005-01-27,2162.11,0.55561682334346
Tesouro Selic,2007-01-17,2005-01-27,2178.97,0.68316178051119
Tesouro Selic,2005-02-16,2005-01-27,2188.32,21.06420150842718
Tesouro Selic,2009-03-18,2005-01-27,2152.7,0.5281038866205601
Tesouro Prefixado,2006-01-01,2005-01-27,852.42,18.77255804746207
Tesouro Prefixado,2005-07-01,2005-01-27,929.14,18.90913197932644
Tesouro Prefixado,2005-10-01,2005-01-27,888.3,19.142618115647412
Tesouro Prefixado,2006-07-01,2005-01-27,786.72,18.35219000159442
Tesouro Prefixado,2005-04-01,2005-01-27,971.04,18.260076109307217
Tesouro Selic,2005-02-16,2005-01-28,2189.78,21.211338583733
Tesouro Selic,2006-01-18,2005-01-28,2186.85,1.1309541276367199
Tesouro Selic,2007-01-17,2005-01-28,2180.01,0.66727778915911
Tesouro Selic,2008-06-18,2005-01-28,2163.58,0.54214525450546
Tesouro Selic,2009-03-18,2005-01-28,2154.17,0.51700275491097
Tesouro Prefixado,2005-07-01,2005-01-28,928.88,19.12197743885189
Tesouro Prefixado,2005-10-01,2005-01-28,887.16,19.45502360975308
Tesouro Prefixado,2006-01-01,2005-01-28,851.16,19.02313408223273
Tesouro Prefixado,2006-07-01,2005-01-28,785.94,18.47329597397113
Tesouro Prefixado,2005-04-01,2005-01-28,971.56,18.20785420638673
Tesouro Selic,2007-01-17,2005-01-31,2181.91,0.63922076295108
Tesouro Selic,2008-06-18,2005-01-31,2165.05,0.52952225073175
Tesouro Selic,2009-03-18,2005-01-31,2155.63,0.50664701285889
Tesouro Prefixado,2006-01-01,2005-01-31,850.51,19.30823439651598
Tesouro Prefixado,2005-07-01,2005-01-31,929.08,19.4745776806122
Tesouro Prefixado,2005-10-01,2005-01-31,887.04,19.7418221703276
Tesouro Selic,2006-01-18,2005-01-31,2188.31,1.09233417489318
Tesouro Prefixado,2005-04-01,2005-01-31,972.05,18.83534175275556
Tesouro Selic,2005-02-16,2005-01-31,2191.24,24.35079772868151
Tesouro Prefixado,2006-07-01,2005-01-31,785.17,18.672427054040767
Tesouro Prefixado,2006-07-01,2005-02-01,785.89,18.63473816878573
Tesouro Selic,2005-02-16,2005-02-01,2192.7,52.86928868524259
Tesouro Selic,2007-01-17,2005-02-01,2183.38,1.0459350444673001
Tesouro Selic,2006-01-18,2005-02-01,2189.78,1.9277489967736798
Tesouro Selic,2008-06-18,2005-02-01,2166.52,0.7647165594627701
Tesouro Selic,2009-03-18,2005-02-01,2157.98,0.69218429238331
Tesouro Prefixado,2005-07-01,2005-02-01,929.86,19.37220796755925
Tesouro Prefixado,2005-10-01,2005-02-01,887.81,19.67417626880556
Tesouro Prefixado,2006-01-01,2005-02-01,850.97,19.300750142647267
Tesouro Prefixado,2005-04-01,2005-02-01,972.79,18.623274697614438
Tesouro Selic,2006-01-18,2005-02-02,2191.25,1.88407011850024
Tesouro Prefixado,2006-07-01,2005-02-02,785.31,18.73646125890555
